0;722
4;722
20;722
275;722
325;756
468;756
531;729
618;729
794;761
879;761
1065;739
1305;753
1496;724
1653;764
1720;764
1871;732
1900;732
2029;770
2054;736
2240;752
2314;752
2405;727
2467;727
2538;747
2664;747
2707;735
2792;755
2883;718
3210;707
3409;754
3671;754
3870;684
3990;684
4115;630
4216;630
4258;669
4407;709
4465;709
4623;754
4702;733
4882;774
5002;774
5239;722
5344;763
5600;731
5666;757
5731;757
5884;700
6044;739
6185;695
6266;746
6382;746
6440;723
6500;723
6563;702
6627;702
6720;736
7076;736
7293;745
7422;713
7548;653
7612;653
7711;702
7759;690
7812;737
7887;737
7965;697
7993;697
8039;707
8087;727
8167;727
8218;710
8267;710
8331;765
8372;765
8426;740
8650;733
8694;745
8747;768
8809;753
8935;668
8984;651
9045;651
9177;583
9260;583
9387;665
9614;725
9860;734
10890;683
11222;683
11372;714
12074;714
12349;587
12565;619
12804;619
13080;707
13252;681
13364;681
13437;703
13510;703
13641;625
13740;625
13801;653
13887;662
13923;633
14039;641
14117;597
14167;547
14278;504
14316;555
14432;635
14563;647
14623;623
14739;664
14823;636
14920;669
14986;669
15053;631
15121;665
15280;665
15395;632
15522;649
15646;567
15719;665
15876;618
16096;678
16313;678
16484;760
16710;746
16856;698
16933;698
17156;755
17215;755
17317;698
17401;698
17524;743
17677;752
17847;666
17950;666
18131;727
18176;727
18264;691
18328;691
18571;758
18650;758
18756;727
18814;727
18866;756
18922;756
19056;709
19169;759
19223;759
19426;722

